"","Edu","MMSE","Live","BADL1","BADL2","BADL3","BADL4","BADL5","BADL8","BADL9","IADL1","IADL2","IADL3","IADL4","IADL5","IADL6","IADL7","IADL8","PSP","CGIS","SFST1","SFST2","SFST3","SFST4","SFST5","SFST6","SFST7"
"Edu",NA,1.11121418784332e-05,0.289165545824034,0.784582368441774,0.174659287569991,0.756093244110183,0.174659287569991,0.56680237953134,0.0373410327309207,0.142039528989006,1.97402089248122e-05,0.0112824979704289,0.0150860739779619,0.00441598619382511,0.00510541240950957,0.591448154112088,0.298746765048085,0.000452745354972306,0.000976634141512056,0.025410843079813,0.0593867448822325,0.00213123818652461,0.033239801494414,7.31466656247459e-05,0.00325025223224484,0.0927314572373783,0.000272007032729338
"MMSE",1.11121418784332e-05,NA,0.801766376887975,0.0015629693841408,2.21166223055569e-05,0.419482370245295,6.6015422165222e-05,0.000356354076526566,0.000174239836132184,0.158889585324351,6.66133814775094e-15,0.00371930076024052,0.0195716442436822,0.0097666652903512,0.000335329553376784,0.179044105620863,0.00375729505562772,0.00469776830858004,0.329858214733232,0.90086868494909,0.0798210616416215,0.00540063378077837,0.846510978006255,1.24338472851093e-07,0.314200420695577,1.20014109852296e-05,0.00384976132312498
"Live",0.289165545824034,0.801766376887975,NA,0.686829322140962,0.24984128446202,0.493525354756884,0.24984128446202,0.0840690964425996,0.470218655398273,0,0.556650021906512,0.951761048398247,0.0871461572431456,0.75781597406282,0.149259799762068,0.193703924649182,2.89165991151918e-07,0.0408281454653727,1.60331659060375e-09,4.04121180963557e-14,0.00281848178974187,0.286988854446242,0.901084588876545,0.42762855060091,0.131520025782921,0.02427317873126,0.000429124983204909
"BADL1",0.784582368441774,0.0015629693841408,0.686829322140962,NA,0,0.144723285234544,0,1.66453695271684e-09,1.55619026553921e-07,0.146491624940202,0.0465144081423778,0.267898442723649,0.254560052503495,0.171865317390795,0.0061152565327558,0.635698783711647,0.0470936197643887,0.00225655709473882,0.0572870540241892,0.558412234219036,0.681987481445123,0.626353036009487,0.571244865298073,0.284576123483646,0.329072765744935,0.00164185939244677,0.0581485253004086
"BADL2",0.174659287569991,2.21166223055569e-05,0.24984128446202,0,NA,0.00473658107034303,0,0,0,0.670349864892022,0.00160805975722633,0.00766485140698525,0.0606100024658385,0.477559839119502,0.0357244362661175,0.672689977885821,0.0330474678101447,0.240556139483026,0.356805713099185,0.337340096455541,0.854245469947491,0.936165343744507,0.0805211925208038,0.446176148517858,0.686890694298538,3.44921585260227e-05,0.153619593703071
"BADL3",0.756093244110183,0.419482370245295,0.493525354756884,0.144723285234544,0.00473658107034303,NA,0.00473658107034303,0.0110125013923645,0.898141186368557,0.799885174126558,0.945148455373495,0.943588708037651,0.145458701328586,0.67239734065622,0.561648594605482,0.80136163625865,0.580304704559467,0.484996478746849,0.984222149545856,0.890778807858639,0.912875458985881,0.309982647429179,0.843466692153017,0.694632544793717,0.742900313486585,0.0407472652063086,0.407707440040155
"BADL4",0.174659287569991,6.6015422165222e-05,0.24984128446202,0,0,0.00473658107034303,NA,0,0,0.356794232793315,0.00160805975722633,0.0683455581723573,0.0606100024658385,0.223253338457434,0.0357244362661175,0.672689977885821,0.00420226451513539,0.240556139483026,0.958432092355618,0.0659196059283855,0.854245469947491,0.993290322479869,0.00587343739970114,0.995291273346224,0.555308616749508,3.61994928232967e-06,0.0649771090952926
"BADL5",0.56680237953134,0.000356354076526566,0.0840690964425996,1.66453695271684e-09,0,0.0110125013923645,0,NA,2.75330891355008e-05,0.250796469814289,0.000516941710136276,0.0310130294160078,0.0214339465080338,0.213279083681462,0.00333219198160117,0.642737172381269,0.00257863851976814,0.197392116561673,0.17673917860562,0.800145554139817,0.894013207303153,0.368904044946638,0.0655097744097488,0.426989608334339,0.674620735155505,1.57102565268019e-06,0.0189698256120594
"BADL8",0.0373410327309207,0.000174239836132184,0.470218655398273,1.55619026553921e-07,0,0.898141186368557,0,2.75330891355008e-05,NA,0.197133372652643,0.0491064496574802,0.0955959810348168,0.523750499182787,0.727228104905794,0.0173764019887499,0.790764966775687,0.359711710881339,0.461460912955538,0.60639254506098,0.547011419000988,0.908141121771819,0.433008662553184,0.00619127618911164,0.265440978180878,0.147590685177003,4.14617990867061e-05,0.910261754037646
"BADL9",0.142039528989006,0.158889585324351,0,0.146491624940202,0.670349864892022,0.799885174126558,0.356794232793315,0.250796469814289,0.197133372652643,NA,0.0026272416400146,0.00447775622552937,0.196446229928719,0.0428554374358141,0.23735575897404,0.0615608486870507,0,2.54390031839691e-06,0,0,0.0247413902742424,0.186040822586466,0.841250504503989,0.0605369187969276,0.927376158827053,0.332146938436928,2.79930130187012e-08
