,IEC1,IEC2,IEC3,POE1,POE2,POE3,SEB1,SEB2,SEB3,ICO1,ICO2,ICO3
IEC1,4.811,,,,,,,,,,,
IEC2,3.909,5.074,,,,,,,,,,
IEC3,3.179,3.041,3.503,,,,,,,,,
POE1,2.976,2.931,2.402,4.59,,,,,,,,
POE2,2.743,2.867,2.418,3.626,3.86,,,,,,,
POE3,2.764,2.821,2.41,3.668,3.597,4.237,,,,,,
SEB1,3.26,3.592,2.279,3.413,2.926,2.852,7.511,,,,,
SEB2,3.07,3.665,2.394,2.518,2.84,2.91,5.505,7.22,,,,
SEB3,2.596,2.817,2.553,2.63,2.671,2.618,5.773,5.716,6.958,,,
ICO1,0.257,0.224,0.236,0.26,0.225,0.26,0.243,0.281,0.256,0.072,,
ICO2,0.336,0.297,0.269,0.288,0.278,0.286,0.299,0.299,0.27,0.037,0.064,
ICO3,0.28,0.239,0.198,0.23,0.239,0.28,0.177,0.296,0.209,0.039,0.038,0.078
